serie,modelo,p,d,q,P,D,Q,AIC,BIC,ljung_box_p,jarque_bera_p
Via_Marítima,"SARIMA(1,1,0)(0,0,1)[12]",1,1,0,0,0,1,627.35,636.3,0.0,0.0
Via_Marítima,"SARIMA(2,1,0)(0,0,1)[12]",2,1,0,0,0,1,627.7,639.63,0.0,0.0
Via_Marítima,"SARIMA(0,1,2)(0,0,0)[12]",0,1,2,0,0,0,628.23,637.18,0.0,0.0
Via_Marítima,"SARIMA(2,1,0)(0,0,0)[12]",2,1,0,0,0,0,628.59,637.54,0.0,0.0
Via_Marítima,"SARIMA(1,1,2)(0,0,1)[12]",1,1,2,0,0,1,628.96,643.88,0.0,0.0
Via_Marítima,"SARIMA(1,1,2)(0,0,0)[12]",1,1,2,0,0,0,629.92,641.85,0.0,0.0
Via_Marítima,"SARIMA(0,1,0)(1,0,1)[12]",0,1,0,1,0,1,644.11,653.07,0.0,0.0
Via_Marítima,"SARIMA(0,1,0)(0,0,0)[12]",0,1,0,0,0,0,644.97,647.96,0.0,0.0
Via_Marítima,"SARIMA(0,1,0)(1,0,0)[12]",0,1,0,1,0,0,646.17,652.14,0.0,0.0
Via_Marítima,"SARIMA(0,1,0)(0,0,1)[12]",0,1,0,0,0,1,646.47,652.44,0.0,0.0
Pais_ElSalvador,"SARIMA(2,1,0)(1,1,0)[12]",2,1,0,1,1,0,8.0,19.59,0.0,
Pais_ElSalvador,"SARIMA(1,1,2)(0,1,0)[12]",1,1,2,0,1,0,449.3,460.89,0.134,0.0
Pais_ElSalvador,"SARIMA(1,1,2)(0,1,1)[12]",1,1,2,0,1,1,449.93,464.42,0.1297,0.0
Pais_ElSalvador,"SARIMA(1,1,2)(1,1,0)[12]",1,1,2,1,1,0,450.2,464.69,0.1317,0.0
Pais_ElSalvador,"SARIMA(2,1,2)(0,1,0)[12]",2,1,2,0,1,0,452.77,467.26,0.1912,0.0
Pais_ElSalvador,"SARIMA(1,1,2)(1,1,1)[12]",1,1,2,1,1,1,453.18,470.57,0.14,0.0
Pais_ElSalvador,"SARIMA(2,1,2)(1,1,0)[12]",2,1,2,1,1,0,454.06,471.44,0.1727,0.0
Pais_ElSalvador,"SARIMA(2,1,2)(0,1,1)[12]",2,1,2,0,1,1,454.09,471.47,0.1709,0.0
Pais_ElSalvador,"SARIMA(2,1,1)(0,1,0)[12]",2,1,1,0,1,0,455.47,467.06,0.05,0.0
Pais_ElSalvador,"SARIMA(2,1,2)(1,1,1)[12]",2,1,2,1,1,1,456.05,476.34,0.175,0.0
Pais_ElSalvador,"SARIMA(2,1,1)(0,1,1)[12]",2,1,1,0,1,1,456.18,470.67,0.0427,0.0
Pais_ElSalvador,"SARIMA(2,1,1)(1,1,0)[12]",2,1,1,1,1,0,456.24,470.73,0.0457,0.0
Pais_ElSalvador,"SARIMA(2,1,1)(1,1,1)[12]",2,1,1,1,1,1,458.18,475.57,0.0429,0.0
Pais_ElSalvador,"SARIMA(1,1,1)(1,1,1)[12]",1,1,1,1,1,1,459.25,473.74,0.0636,0.0
Pais_ElSalvador,"SARIMA(0,1,0)(0,1,0)[12]",0,1,0,0,1,0,460.57,463.47,0.022,0.0
Pais_ElSalvador,"SARIMA(0,1,0)(1,1,0)[12]",0,1,0,1,1,0,461.36,467.16,0.023,0.0
Pais_ElSalvador,"SARIMA(0,1,0)(0,1,1)[12]",0,1,0,0,1,1,461.42,467.22,0.0216,0.0
Pais_ElSalvador,"SARIMA(0,1,1)(0,1,0)[12]",0,1,1,0,1,0,462.53,468.33,0.0284,0.0
Pais_ElSalvador,"SARIMA(1,1,0)(0,1,0)[12]",1,1,0,0,1,0,462.53,468.33,0.0285,0.0
Pais_ElSalvador,"SARIMA(0,1,1)(1,1,0)[12]",0,1,1,1,1,0,463.33,472.03,0.0275,0.0
Pais_ElSalvador,"SARIMA(1,1,0)(1,1,0)[12]",1,1,0,1,1,0,463.33,472.03,0.0276,0.0
Pais_ElSalvador,"SARIMA(0,1,0)(1,1,1)[12]",0,1,0,1,1,1,463.36,472.05,0.0227,0.0
Pais_ElSalvador,"SARIMA(0,1,1)(0,1,1)[12]",0,1,1,0,1,1,463.39,472.08,0.0264,0.0
Pais_ElSalvador,"SARIMA(1,1,0)(0,1,1)[12]",1,1,0,0,1,1,463.39,472.08,0.0264,0.0
Pais_ElSalvador,"SARIMA(0,1,2)(0,1,0)[12]",0,1,2,0,1,0,464.53,473.22,0.0284,0.0
Pais_ElSalvador,"SARIMA(1,1,1)(0,1,0)[12]",1,1,1,0,1,0,464.53,473.22,0.0284,0.0
Pais_ElSalvador,"SARIMA(2,1,0)(0,1,0)[12]",2,1,0,0,1,0,464.53,473.22,0.0294,0.0
Pais_ElSalvador,"SARIMA(0,1,1)(1,1,1)[12]",0,1,1,1,1,1,465.33,476.92,0.0273,0.0
Pais_ElSalvador,"SARIMA(0,1,2)(1,1,0)[12]",0,1,2,1,1,0,465.33,476.92,0.0277,0.0
Pais_ElSalvador,"SARIMA(1,1,0)(1,1,1)[12]",1,1,0,1,1,1,465.33,476.92,0.0274,0.0
Pais_ElSalvador,"SARIMA(1,1,1)(1,1,0)[12]",1,1,1,1,1,0,465.33,476.93,0.0276,0.0
Pais_ElSalvador,"SARIMA(0,1,2)(0,1,1)[12]",0,1,2,0,1,1,465.39,476.98,0.0265,0.0
Pais_ElSalvador,"SARIMA(1,1,1)(0,1,1)[12]",1,1,1,0,1,1,465.39,476.98,0.0264,0.0
Pais_ElSalvador,"SARIMA(2,1,0)(0,1,1)[12]",2,1,0,0,1,1,465.39,476.98,0.0272,0.0
Pais_ElSalvador,"SARIMA(0,1,2)(1,1,1)[12]",0,1,2,1,1,1,467.33,481.82,0.0275,0.0
Pais_ElSalvador,"SARIMA(2,1,0)(1,1,1)[12]",2,1,0,1,1,1,467.33,481.82,0.0283,0.0
Pais_Honduras,"SARIMA(2,1,2)(0,1,1)[12]",2,1,2,0,1,1,393.49,410.87,0.0572,0.0
Pais_Honduras,"SARIMA(2,1,2)(1,1,0)[12]",2,1,2,1,1,0,393.51,410.89,0.0587,0.0
Pais_Honduras,"SARIMA(2,1,2)(0,1,0)[12]",2,1,2,0,1,0,394.11,408.6,0.0973,0.0
Pais_Honduras,"SARIMA(2,1,1)(0,1,1)[12]",2,1,1,0,1,1,395.19,409.68,0.0117,0.0
Pais_Honduras,"SARIMA(2,1,1)(1,1,0)[12]",2,1,1,1,1,0,395.32,409.81,0.0121,0.0
Pais_Honduras,"SARIMA(2,1,2)(1,1,1)[12]",2,1,2,1,1,1,395.34,415.62,0.0534,0.0
